run,model,split,gen_time
54,RectFlow,Y1,0.7640739999988
54,RectFlow,Y2,0.7782407000013336
55,CWGAN,Y1,0.2157697000002372
55,CWGAN,Y2,0.2082417000019631
55,Diffusion,Y1,0.8433545000007143
55,Diffusion,Y2,0.851742099999683
55,RectFlow,Y1,0.7951830000019982
55,RectFlow,Y2,0.7714564000016253
56,CWGAN,Y1,0.1925415999976394
56,CWGAN,Y2,0.2071385999988706
56,Diffusion,Y1,0.8313182999991113
56,Diffusion,Y2,0.8275954999990063
56,RectFlow,Y1,0.7707631000012043
56,RectFlow,Y2,0.7703167999970901
57,CWGAN,Y1,0.2402894999977434
57,CWGAN,Y2,0.2454285999992862
57,Diffusion,Y1,0.8192330000019865
57,Diffusion,Y2,0.8177009999999427
57,RectFlow,Y1,0.7737248999983422
57,RectFlow,Y2,0.7685337000002619
58,CWGAN,Y1,0.2407605999978841
58,CWGAN,Y2,0.1931127000025299
58,Diffusion,Y1,0.833964699999342
58,Diffusion,Y2,0.8361015000009502
58,RectFlow,Y1,0.780513300000166
58,RectFlow,Y2,0.7660753000018303
59,CWGAN,Y1,0.2281044000010297
59,CWGAN,Y2,0.2021199000009801
59,Diffusion,Y1,0.8391325999982655
59,Diffusion,Y2,0.8407178999987082
59,RectFlow,Y1,0.7916451999990386
59,RectFlow,Y2,0.7917702000013378
60,CWGAN,Y1,0.2210358000011183
60,CWGAN,Y2,0.2243588999990606
60,Diffusion,Y1,0.8435099000016635
60,Diffusion,Y2,0.8420366999998805
60,RectFlow,Y1,0.7869200000022829
60,RectFlow,Y2,0.7704818000020168
61,CWGAN,Y1,0.1824721999983012
61,CWGAN,Y2,0.2020455000019865
61,Diffusion,Y1,0.8311892000019725
61,Diffusion,Y2,0.8265038000026834
61,RectFlow,Y1,0.7772905999991053
61,RectFlow,Y2,0.7788375000018277
62,CWGAN,Y1,0.226763699996809
62,CWGAN,Y2,0.2000540999979421
62,Diffusion,Y1,0.8361328999999387
62,Diffusion,Y2,0.8296131000024616
62,RectFlow,Y1,0.7774623000004794
62,RectFlow,Y2,0.7636797999984992
63,CWGAN,Y1,0.2062798000006296
63,CWGAN,Y2,0.228616399999737
63,Diffusion,Y1,0.8293371999970987
63,Diffusion,Y2,0.8239533999985724
63,RectFlow,Y1,0.7844540000005509
63,RectFlow,Y2,0.784968600000866
64,CWGAN,Y1,0.2506938000005903
64,CWGAN,Y2,0.2129690000001574
64,Diffusion,Y1,0.8632737000007182
64,Diffusion,Y2,0.8276798000006238
64,RectFlow,Y1,0.7947055000004184
64,RectFlow,Y2,0.7676499999979569
65,CWGAN,Y1,0.2321350999991409
65,CWGAN,Y2,0.1876521999984106
65,Diffusion,Y1,0.8448422000001301
65,Diffusion,Y2,0.8322366000029433
